"","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"7222","male",1970,46,"middle",1,"marriage","no",851,"금속공작기계 조작원",512.4,2,"수도권(인천/경기)"
"7223","female",1973,43,"middle",1,"marriage","no",247,"사회복지관련 종사자",162.5,2,"수도권(인천/경기)"
"7224","male",1997,19,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7225","male",2000,16,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7226","male",1964,52,"middle",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7227","female",1941,75,"old",2,NA,"yes",941,"청소원 및 환경 미화원",81.2,2,"수도권(인천/경기)"
"7228","male",1968,48,"middle",1,"marriage","no",211,"생명 및 자연 과학 관련 전문가",524.2,2,"수도권(인천/경기)"
"7229","female",1973,43,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7230","male",2006,10,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7231","male",1966,50,"middle",1,"marriage","yes",521,"매장 판매 종사자",NA,2,"수도권(인천/경기)"
"7232","female",1968,48,"middle",1,"marriage","yes",521,"매장 판매 종사자",NA,2,"수도권(인천/경기)"
"7233","female",1995,21,"young",5,NA,"yes",442,"음식서비스 종사자",40,2,"수도권(인천/경기)"
"7234","male",1998,18,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7235","male",1966,50,"middle",1,"marriage","yes",873,"자동차 운전원",NA,3,"부산/경남/울산"
"7236","female",1973,43,"middle",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"7237","female",1998,18,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"7238","female",2000,16,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"7239","male",2004,12,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"7240","male",1968,48,"middle",1,"marriage","yes",851,"금속공작기계 조작원",360,5,"대전/충남"
"7241","female",1968,48,"middle",1,"marriage","yes",NA,NA,NA,5,"대전/충남"
"7242","male",2007,9,"young",0,NA,"yes",NA,NA,NA,5,"대전/충남"
"7243","female",1961,55,"middle",3,"divorce","no",421,"의료 복지 관련 서비스 종사자",200,2,"수도권(인천/경기)"
"7244","female",1987,29,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7245","female",1991,25,"young",5,NA,"no",243,"간호사",170,2,"수도권(인천/경기)"
"7246","female",2008,8,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7247","male",1972,44,"middle",1,"marriage","no",149,"기타 건설 전기 및 생산 관련 관리자",NA,2,"수도권(인천/경기)"
"7248","female",1974,42,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7249","male",2006,10,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7250","male",2007,9,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7251","male",1940,76,"old",2,NA,"yes",999,"기타 서비스관련 단순 종사원",NA,2,"수도권(인천/경기)"
"7252","male",1967,49,"middle",1,"marriage","yes",922,"배달원",250,2,"수도권(인천/경기)"
"7253","female",1970,46,"middle",1,"marriage","yes",521,"매장 판매 종사자",NA,2,"수도권(인천/경기)"
"7254","male",1997,19,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7255","male",1999,17,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7256","male",1970,46,"middle",1,"marriage","yes",312,"경영관련 사무원",74,2,"수도권(인천/경기)"
"7257","female",1970,46,"middle",1,"marriage","yes",254,"문리 기술 및 예능 강사",74,2,"수도권(인천/경기)"
"7258","female",1951,65,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7259","male",1977,39,"middle",1,"marriage","yes",241,"의료진료 전문가",NA,2,"수도권(인천/경기)"
"7260","male",1947,69,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7261","male",2011,5,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7262","female",1979,37,"middle",1,"marriage","yes",241,"의료진료 전문가",NA,2,"수도권(인천/경기)"
"7263","male",1949,67,"old",1,"marriage","yes",248,"종교관련 종사자",160,2,"수도권(인천/경기)"
"7264","female",1949,67,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7265","female",1945,71,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7266","female",1975,41,"middle",1,"marriage","no",399,"고객 상담 및 기타 사무원",454.1,2,"수도권(인천/경기)"
"7267","female",1977,39,"middle",5,NA,"no",247,"사회복지관련 종사자",250,2,"수도권(인천/경기)"
"7268","male",1966,50,"middle",1,"marriage","no",841,"주조 및 금속 가공관련 기계조작원",558.3,2,"수도권(인천/경기)"
"7269","female",1968,48,"middle",1,"marriage","no",922,"배달원",166.6,2,"수도권(인천/경기)"
"7270","female",1994,22,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7271","male",1998,18,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7272","male",1944,72,"old",1,"marriage","yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7273","female",1951,65,"old",1,"marriage","yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7274","male",1974,42,"middle",3,"divorce","yes",222,"정보시스템 개발 전문가",NA,2,"수도권(인천/경기)"
"7275","male",1975,41,"middle",3,"divorce","yes",223,"정보 시스템 운영자",233.3,2,"수도권(인천/경기)"
"7276","female",1977,39,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7277","male",1972,44,"middle",1,"marriage","no",235,"전기 전자 및 기계 공학 기술자 및 시험원",549,2,"수도권(인천/경기)"
"7278","female",2011,5,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7279","male",2013,3,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7280","male",1949,67,"old",1,"marriage","no",873,"자동차 운전원",NA,2,"수도권(인천/경기)"
"7281","female",1953,63,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7282","male",1951,65,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7283","female",1952,64,"old",1,"marriage","no",941,"청소원 및 환경 미화원",137,2,"수도권(인천/경기)"
"7284","male",1982,34,"middle",1,"marriage","no",530,"방문 노점 및 통신 판매 관련 종사자",NA,2,"수도권(인천/경기)"
"7285","female",1985,31,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7286","female",2010,6,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7287","female",2012,4,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7288","female",1939,77,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7289","male",1971,45,"middle",1,"marriage","no",285,"디자이너",425.7,2,"수도권(인천/경기)"
"7290","female",1974,42,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7291","female",2011,5,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7292","male",1960,56,"middle",1,"marriage","no",873,"자동차 운전원",195,2,"수도권(인천/경기)"
"7293","female",1962,54,"middle",1,"marriage","no",442,"음식서비스 종사자",63.6,2,"수도권(인천/경기)"
"7294","male",1989,27,"young",5,NA,"no",222,"정보시스템 개발 전문가",133.3,2,"수도권(인천/경기)"
"7295","male",1950,66,"old",1,"marriage","yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7296","female",1956,60,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7297","female",1931,85,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7298","female",1938,78,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7299","male",1972,44,"middle",1,"marriage","yes",521,"매장 판매 종사자",411.7,2,"수도권(인천/경기)"
"7300","female",1972,44,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7301","female",2000,16,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7302","male",2004,12,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7303","male",2006,10,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7304","male",1938,78,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7305","female",1942,74,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7306","male",1945,71,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7307","female",1960,56,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7308","male",1938,78,"old",1,"marriage","no",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7309","female",1942,74,"old",1,"marriage","no",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7310","male",1965,51,"middle",1,"marriage","no",521,"매장 판매 종사자",NA,2,"수도권(인천/경기)"
"7311","female",1965,51,"middle",1,"marriage","yes",521,"매장 판매 종사자",NA,2,"수도권(인천/경기)"
"7312","female",1993,23,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7313","male",1995,21,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7314","male",1939,77,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7315","male",1962,54,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7316","female",1960,56,"middle",1,"marriage","no",952,"음식관련 단순 종사원",137.8,2,"수도권(인천/경기)"
"7317","male",1986,30,"middle",5,NA,"no",231,"건축 및 토목 공학 기술자 및 시험원",221,2,"수도권(인천/경기)"
"7318","female",1990,26,"young",5,NA,"no",521,"매장 판매 종사자",145.8,2,"수도권(인천/경기)"
"7319","male",1960,56,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7320","female",1965,51,"middle",1,"marriage","yes",421,"의료 복지 관련 서비스 종사자",48,2,"수도권(인천/경기)"
"7321","female",1993,23,"young",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7322","female",1995,21,"young",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7323","female",2003,13,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7324","female",1923,93,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7325","male",1952,64,"old",1,"marriage","no",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7326","female",1964,52,"middle",1,"marriage","yes",941,"청소원 및 환경 미화원",60.7,2,"수도권(인천/경기)"
"7327","female",1994,22,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7328","female",1996,20,"young",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7329","female",1996,20,"young",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7330","male",1957,59,"middle",3,"divorce","no",NA,NA,NA,2,"수도권(인천/경기)"
"7331","female",1991,25,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7332","male",1996,20,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7333","female",1936,80,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7334","male",1968,48,"middle",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7335","male",1961,55,"middle",1,"marriage","no",873,"자동차 운전원",275.4,2,"수도권(인천/경기)"
"7336","female",1964,52,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7337","female",1988,28,"young",5,NA,"no",285,"디자이너",170.5,2,"수도권(인천/경기)"
"7338","male",1943,73,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7339","female",1949,67,"old",1,"marriage","no",941,"청소원 및 환경 미화원",58.7,2,"수도권(인천/경기)"
"7340","male",1933,83,"old",2,NA,"yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7341","female",1969,47,"middle",5,NA,"yes",313,"회계 및 경리 사무원",300,2,"수도권(인천/경기)"
"7342","male",1971,45,"middle",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7343","male",1994,22,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7344","female",1963,53,"middle",2,NA,"yes",442,"음식서비스 종사자",171.2,2,"수도권(인천/경기)"
"7345","female",1989,27,"young",5,NA,"yes",243,"간호사",187.5,2,"수도권(인천/경기)"
"7346","male",1928,88,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7347","female",1936,80,"old",1,"marriage","no",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7348","female",1942,74,"old",2,NA,"yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7349","female",1938,78,"old",2,NA,"yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7350","male",1968,48,"middle",3,"divorce","yes",521,"매장 판매 종사자",100,2,"수도권(인천/경기)"
"7351","male",1995,21,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7352","female",1984,32,"middle",1,"marriage","no",259,"기타 교육 전문가",NA,2,"수도권(인천/경기)"
"7353","male",1982,34,"middle",1,"marriage","no",245,"치료사 및 의료기사",428,2,"수도권(인천/경기)"
"7354","male",1939,77,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7355","female",1944,72,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7356","male",1952,64,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7357","female",1954,62,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7358","female",1983,33,"middle",1,"marriage","yes",252,"학교 교사",NA,1,"서울"
"7359","male",1981,35,"middle",1,"marriage","yes",252,"학교 교사",379.2,2,"수도권(인천/경기)"
"7360","female",1981,35,"middle",1,"marriage","yes",252,"학교 교사",319,2,"수도권(인천/경기)"
"7361","male",2009,7,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7362","male",2010,6,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7363","male",1983,33,"middle",1,"marriage","yes",212,"인문 및 사회 과학 전문가",333.3,1,"서울"
"7364","male",2012,4,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"7365","female",1946,70,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7366","male",1952,64,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7367","female",1964,52,"middle",1,"marriage","no",941,"청소원 및 환경 미화원",84.5,2,"수도권(인천/경기)"
"7368","female",1985,31,"middle",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7369","female",1988,28,"young",5,NA,"no",313,"회계 및 경리 사무원",150,2,"수도권(인천/경기)"
"7370","male",1955,61,"old",1,"marriage","yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7371","female",1960,56,"middle",1,"marriage","yes",941,"청소원 및 환경 미화원",114,2,"수도권(인천/경기)"
"7372","male",1981,35,"middle",5,NA,"no",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7373","female",1983,33,"middle",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7374","female",1931,85,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7375","male",1934,82,"old",1,"marriage","yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7376","female",1938,78,"old",1,"marriage","yes",611,"작물재배 종사자",NA,2,"수도권(인천/경기)"
"7377","female",1939,77,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7378","female",1928,88,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7379","female",1944,72,"old",2,NA,"no",941,"청소원 및 환경 미화원",25,2,"수도권(인천/경기)"
"7380","female",1988,28,"young",5,NA,"no",521,"매장 판매 종사자",180,2,"수도권(인천/경기)"
"7381","female",1932,84,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7382","male",1968,48,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7383","male",1996,20,"young",5,NA,"no",952,"음식관련 단순 종사원",NA,2,"수도권(인천/경기)"
"7384","female",1970,46,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7385","male",1971,45,"middle",1,"marriage","no",399,"고객 상담 및 기타 사무원",NA,2,"수도권(인천/경기)"
"7386","male",1938,78,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7387","female",1937,79,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7388","male",2001,15,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7389","female",1979,37,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7390","male",2014,2,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7391","male",2003,13,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7392","female",1943,73,"old",2,NA,"yes",941,"청소원 및 환경 미화원",87,2,"수도권(인천/경기)"
"7393","female",1933,83,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7394","male",1938,78,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7395","female",1940,76,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7396","male",1978,38,"middle",5,NA,"yes",510,"영업 종사자",NA,5,"대전/충남"
"7397","female",1979,37,"middle",5,NA,"no",930,"제조관련 단순 종사원",275,2,"수도권(인천/경기)"
"7398","male",1971,45,"middle",1,"marriage","no",312,"경영관련 사무원",300,2,"수도권(인천/경기)"
"7399","female",1974,42,"middle",1,"marriage","no",521,"매장 판매 종사자",270,2,"수도권(인천/경기)"
"7400","female",2002,14,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7401","female",2004,12,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7402","female",1946,70,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7403","male",1968,48,"middle",3,"divorce","no",773,"건축마감관련 기능 종사자",284,2,"수도권(인천/경기)"
"7404","female",1996,20,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7405","male",1936,80,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7406","female",1939,77,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7407","male",1960,56,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7408","female",1962,54,"middle",1,"marriage","yes",952,"음식관련 단순 종사원",148,2,"수도권(인천/경기)"
"7409","female",2002,14,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7410","female",1942,74,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7411","female",1960,56,"middle",1,"marriage","yes",873,"자동차 운전원",NA,2,"수도권(인천/경기)"
"7412","male",1962,54,"middle",1,"marriage","yes",942,"경비원 및 검표원",205,2,"수도권(인천/경기)"
"7413","female",1988,28,"young",5,NA,"no",283,"연극 영화 및 영상 전문가",260,2,"수도권(인천/경기)"
"7414","male",1955,61,"old",3,"divorce","yes",841,"주조 및 금속 가공관련 기계조작원",260,2,"수도권(인천/경기)"
"7415","female",1990,26,"young",5,NA,"no",259,"기타 교육 전문가",60,2,"수도권(인천/경기)"
"7416","female",1993,23,"young",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7417","male",1954,62,"old",3,"divorce","yes",873,"자동차 운전원",NA,2,"수도권(인천/경기)"
"7418","male",1943,73,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7419","female",1947,69,"old",1,"marriage","yes",421,"의료 복지 관련 서비스 종사자",70,2,"수도권(인천/경기)"
"7420","male",1975,41,"middle",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7421","male",1963,53,"middle",1,"marriage","no",873,"자동차 운전원",NA,2,"수도권(인천/경기)"
"7422","female",1966,50,"middle",1,"marriage","no",930,"제조관련 단순 종사원",15,2,"수도권(인천/경기)"
"7423","female",1990,26,"young",5,NA,"no",313,"회계 및 경리 사무원",145.6,2,"수도권(인천/경기)"
"7424","female",1992,24,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7425","male",1997,19,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7426","male",1944,72,"old",2,NA,"no",873,"자동차 운전원",NA,2,"수도권(인천/경기)"
"7427","female",1935,81,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7428","female",1956,60,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7429","male",1979,37,"middle",5,NA,"yes",930,"제조관련 단순 종사원",163.3,2,"수도권(인천/경기)"
"7430","male",1937,79,"old",1,"marriage","no",999,"기타 서비스관련 단순 종사원",NA,2,"수도권(인천/경기)"
"7431","female",1942,74,"old",1,"marriage","no",999,"기타 서비스관련 단순 종사원",20,2,"수도권(인천/경기)"
"7432","male",1922,94,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7433","male",1956,60,"old",3,"divorce","no",910,"건설 및 광업 단순 종사원",NA,2,"수도권(인천/경기)"
"7434","male",1944,72,"old",1,"marriage","no",941,"청소원 및 환경 미화원",40.8,2,"수도권(인천/경기)"
"7435","female",1936,80,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7436","female",1965,51,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7437","female",1995,21,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7438","female",2000,16,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7439","male",1946,70,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7440","male",1956,60,"old",1,"marriage","yes",772,"건설관련 기능 종사자",410,2,"수도권(인천/경기)"
"7441","female",1959,57,"middle",1,"marriage","yes",941,"청소원 및 환경 미화원",150,2,"수도권(인천/경기)"
"7442","female",1986,30,"middle",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7443","male",1990,26,"young",5,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7444","male",1941,75,"old",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7445","female",1946,70,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7446","male",1969,47,"middle",1,"marriage","yes",873,"자동차 운전원",318.3,2,"수도권(인천/경기)"
"7447","female",1972,44,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7448","female",2004,12,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7449","male",2009,7,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7450","male",1972,44,"middle",1,"marriage","no",762,"전기공",275.16,5,"대전/충남"
"7451","female",1974,42,"middle",1,"marriage","no",941,"청소원 및 환경 미화원",48,5,"대전/충남"
"7452","male",2003,13,"young",0,NA,"no",NA,NA,NA,5,"대전/충남"
"7453","male",1970,46,"middle",1,"marriage","yes",741,"금형 주조 및 단조원",308.4,2,"수도권(인천/경기)"
"7454","female",1974,42,"middle",1,"marriage","yes",952,"음식관련 단순 종사원",137,2,"수도권(인천/경기)"
"7455","female",2000,16,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7456","male",2003,13,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7457","male",1971,45,"middle",1,"marriage","no",521,"매장 판매 종사자",NA,2,"수도권(인천/경기)"
"7458","female",1971,45,"middle",1,"marriage","no",441,"주방장 및 조리사",125,2,"수도권(인천/경기)"
"7459","male",1994,22,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7460","female",1995,21,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7461","male",2001,15,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7462","male",1939,77,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7463","female",1942,74,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7464","female",1973,43,"middle",3,"divorce","no",521,"매장 판매 종사자",142,1,"서울"
"7465","female",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"7466","female",1997,19,"young",0,NA,"no",NA,NA,NA,1,"서울"
"7467","male",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"7468","female",1937,79,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7469","female",1942,74,"old",3,"divorce","yes",NA,NA,NA,2,"수도권(인천/경기)"
"7470","female",1966,50,"middle",5,NA,"yes",930,"제조관련 단순 종사원",110,2,"수도권(인천/경기)"
"7471","female",1935,81,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7472","male",1978,38,"middle",1,"marriage","no",521,"매장 판매 종사자",329.7,2,"수도권(인천/경기)"
"7473","female",1978,38,"middle",1,"marriage","no",313,"회계 및 경리 사무원",90,2,"수도권(인천/경기)"
"7474","female",2005,11,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7475","male",1967,49,"middle",3,"divorce","no",235,"전기 전자 및 기계 공학 기술자 및 시험원",393,1,"서울"
"7476","male",1975,41,"middle",5,NA,"no",235,"전기 전자 및 기계 공학 기술자 및 시험원",491,2,"수도권(인천/경기)"
"7477","male",1960,56,"middle",3,"divorce","no",942,"경비원 및 검표원",200,2,"수도권(인천/경기)"
"7478","male",1975,41,"middle",1,"marriage","no",510,"영업 종사자",348.3,2,"수도권(인천/경기)"
"7479","male",1976,40,"middle",1,"marriage","no",312,"경영관련 사무원",330,2,"수도권(인천/경기)"
"7480","female",1979,37,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"7481","male",2009,7,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7482","female",2011,5,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7483","female",1976,40,"middle",1,"marriage","no",320,"금융 및 보험관련 사무 종사자",458.3,2,"수도권(인천/경기)"
"7484","female",2007,9,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7485","male",1971,45,"middle",1,"marriage","yes",841,"주조 및 금속 가공관련 기계조작원",NA,2,"수도권(인천/경기)"
"7486","female",1977,39,"middle",1,"marriage","yes",312,"경영관련 사무원",223.3,2,"수도권(인천/경기)"
"7487","female",2004,12,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7488","female",2006,10,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7489","female",2008,8,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7490","male",2011,5,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"7491","male",1977,39,"middle",1,"marriage","yes",312,"경영관련 사무원",343.3,2,"수도권(인천/경기)"
"7492","female",1975,41,"middle",1,"marriage","yes",521,"매장 판매 종사자",195.5,2,"수도권(인천/경기)"
"7493","male",2003,13,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7494","female",2005,11,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7495","male",2008,8,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"7496","male",1979,37,"middle",1,"marriage","no",510,"영업 종사자",291.7,2,"수도권(인천/경기)"
